Warning Analysis
================

Generated: 2026-06-13 21:05:44

Count    Warning      Description
1        CS8622       Nullability of reference types in type of parameter 'sender' of 'void TestCityGridMenu.OnCancelled(object sender, EventArgs args)' doesn't match the target delegate 'EventHandler' (possibly because of nullability attributes). [C:\Users\Christian\Documents\Projekte\CivOne-Chris-2\CivOne.csproj]
1        CS8622       Nullability of reference types in type of parameter 'sender' of 'void TechSelect.ClosedChooseTech(object sender, EventArgs args)' doesn't match the target delegate 'EventHandler' (possibly because of nullability attributes). [C:\Users\Christian\Documents\Projekte\CivOne-Chris-2\CivOne.csproj]
1        CS8622       Nullability of reference types in type of parameter 'sender' of 'void ProcessScience.ClosedDiscovery(object sender, EventArgs args)' doesn't match the target delegate 'EventHandler' (possibly because of nullability attributes). [C:\Users\Christian\Documents\Projekte\CivOne-Chris-2\CivOne.csproj]
1        CS8622       Nullability of reference types in type of parameter 'sender' of 'void ProcessScience.CivilopediaClosed(object sender, EventArgs args)' doesn't match the target delegate 'EventHandler' (possibly because of nullability attributes). [C:\Users\Christian\Documents\Projekte\CivOne-Chris-2\CivOne.csproj]
1        CS8622       Nullability of reference types in type of parameter 'sender' of 'void Message.ClosedMessage(object sender, EventArgs args)' doesn't match the target delegate 'EventHandler' (possibly because of nullability attributes). [C:\Users\Christian\Documents\Projekte\CivOne-Chris-2\CivOne.csproj]
1        CS8622       Nullability of reference types in type of parameter 'sender' of 'void Menu<T>.Resize(object sender, ResizeEventArgs args)' doesn't match the target delegate 'EventHandler<ResizeEventArgs>' (possibly because of nullability attributes). [C:\Users\Christian\Documents\Projekte\CivOne-Chris-2\CivOne.csproj]
1        CS8622       Nullability of reference types in type of parameter 'sender' of 'void LanguageScreen.OnCancelled(object sender, EventArgs args)' doesn't match the target delegate 'EventHandler' (possibly because of nullability attributes). [C:\Users\Christian\Documents\Projekte\CivOne-Chris-2\CivOne.csproj]
1        CS8622       Nullability of reference types in type of parameter 'sender' of 'void Intro.Resize(object sender, ResizeEventArgs args)' doesn't match the target delegate 'EventHandler<ResizeEventArgs>' (possibly because of nullability attributes). [C:\Users\Christian\Documents\Projekte\CivOne-Chris-2\CivOne.csproj]
1        CS8622       Nullability of reference types in type of parameter 'sender' of 'void IntelligenceReport.MouseDown(object sender, ScreenEventArgs args)' doesn't match the target delegate 'EventHandler<ScreenEventArgs>' (possibly because of nullability attributes). [C:\Users\Christian\Documents\Projekte\CivOne-Chris-2\CivOne.csproj]
1        CS8622       Nullability of reference types in type of parameter 'sender' of 'void ImprovementBuilt.ClosedCityView(object sender, EventArgs args)' doesn't match the target delegate 'EventHandler' (possibly because of nullability attributes). [C:\Users\Christian\Documents\Projekte\CivOne-Chris-2\CivOne.csproj]
1        CS8622       Nullability of reference types in type of parameter 'sender' of 'void GetAdvance.CivilopediaClosed(object sender, EventArgs args)' doesn't match the target delegate 'EventHandler' (possibly because of nullability attributes). [C:\Users\Christian\Documents\Projekte\CivOne-Chris-2\CivOne.csproj]
1        CS8622       Nullability of reference types in type of parameter 'sender' of 'void GamePlay.MenuBarWorld(object sender, EventArgs args)' doesn't match the target delegate 'EventHandler' (possibly because of nullability attributes). [C:\Users\Christian\Documents\Projekte\CivOne-Chris-2\CivOne.csproj]
1        CS8622       Nullability of reference types in type of parameter 'sender' of 'void GamePlay.MenuBarTerrain(object sender, EventArgs args)' doesn't match the target delegate 'EventHandler' (possibly because of nullability attributes). [C:\Users\Christian\Documents\Projekte\CivOne-Chris-2\CivOne.csproj]
1        CS8622       Nullability of reference types in type of parameter 'sender' of 'void GamePlay.MenuBarOrders(object sender, EventArgs args)' doesn't match the target delegate 'EventHandler' (possibly because of nullability attributes). [C:\Users\Christian\Documents\Projekte\CivOne-Chris-2\CivOne.csproj]
1        CS8622       Nullability of reference types in type of parameter 'sender' of 'void GamePlay.MenuBarCivilopedia(object sender, EventArgs args)' doesn't match the target delegate 'EventHandler' (possibly because of nullability attributes). [C:\Users\Christian\Documents\Projekte\CivOne-Chris-2\CivOne.csproj]
